Age,Gender,Education Level,Job Title,Years of Experience,Salary,Level
45.0,Male,PhD,Manager,15.0,150000.0,Senior
38.0,Male,PhD,Scientist,10.0,110000.0,Senior
39.0,Male,PhD,Engineer,12.0,115000.0,Senior
24.0,Male,Bachelor's,Developer,1.0,40000.0,Junior
43.0,Female,PhD,Consultant,15.0,140000.0,Senior
46.0,Male,PhD,Manager,20.0,170000.0,Senior
38.0,Male,PhD,Scientist,11.0,120000.0,Senior
43.0,Male,PhD,Engineer,17.0,140000.0,Senior
47.0,Male,PhD,Data Scientist,21.0,180000.0,Senior
26.0,Male,Bachelor's,Accountant,1.0,35000.0,Junior
49.0,Female,Master's,Financial Analyst,18.0,150000.0,Senior
32.0,Male,Master's,Software Engineer,6.0,100000.0,Senior
29.0,Female,Bachelor's,Designer,2.0,40000.0,Junior
27.0,Male,Bachelor's,Account Manager,2.0,45000.0,Junior
46.0,Male,Master's,Project Manager,21.0,135000.0,Senior
52.0,Female,Master's,Marketing Manager,25.0,170000.0,Senior
26.0,Male,Bachelor's,Software Developer,1.0,35000.0,Junior
49.0,Female,Master's,HR Manager,19.0,150000.0,Senior
33.0,Male,Bachelor's,Web Developer,5.0,50000.0,Junior
39.0,Female,Master's,Project Coordinator,13.0,80000.0,Senior
41.0,Female,Master's,Marketing Analyst,14.0,100000.0,Senior
42.0,Female,Master's,Graphic Designer,15.0,110000.0,Senior
32.0,Male,Master's,Business Analyst,6.0,90000.0,Senior
23.0,Female,Bachelor's,Marketing Analyst,0.5,35000.0,Junior
31.0,Male,Master's,Financial Analyst,6.0,95000.0,Senior
29.0,Female,Bachelor's,HR Generalist,3.0,45000.0,Junior
35.0,Male,Master's,Product Manager,10.0,120000.0,Senior
33.0,Female,Bachelor's,Operations Analyst,5.0,50000.0,Junior
44.0,Female,PhD,Scientist,16.0,140000.0,Senior
26.0,Male,Bachelor's,Accountant,2.0,40000.0,Junior
37.0,Female,Master's,HR Generalist,9.0,95000.0,Senior
34.0,Male,Master's,Software Developer,8.0,105000.0,Senior
29.0,Male,Bachelor's,Web Designer,3.0,45000.0,Junior
40.0,Female,Master's,Training Specialist,12.0,100000.0,Senior
47.0,Male,PhD,Research Scientist,22.0,160000.0,Senior
27.0,Male,Bachelor's,Sales Representative,1.0,35000.0,Junior
46.0,Male,Master's,Project Manager,19.0,140000.0,Senior
30.0,Female,Bachelor's,Marketing Manager,4.0,50000.0,Junior
36.0,Male,Bachelor's,Data Analyst,7.0,60000.0,Junior
43.0,Female,Master's,Product Marketing Manager,14.0,120000.0,Senior
28.0,Male,Bachelor's,Business Analyst,2.0,40000.0,Junior
41.0,Female,Master's,Marketing Manager,13.0,110000.0,Senior
33.0,Male,Bachelor's,Software Developer,5.0,50000.0,Junior
47.0,Male,Bachelor's,Sales Manager,20.0,135000.0,Senior
25.0,Female,Master's,Marketing Specialist,1.5,40000.0,Junior
34.0,Male,Bachelor's,Business Analyst,8.0,90000.0,Senior
42.0,Female,PhD,Data Scientist,16.0,150000.0,Senior
31.0,Male,Bachelor's,Project Manager,4.0,60000.0,Junior
38.0,Female,Bachelor's,Accountant,10.0,80000.0,Senior
29.0,Female,Bachelor's,Recruiter,3.0,45000.0,Junior
36.0,Male,Master's,Business Development Manager,11.0,120000.0,Senior
43.0,Female,PhD,Product Designer,18.0,140000.0,Senior
26.0,Male,Bachelor's,Customer Support Specialist,2.0,35000.0,Junior
37.0,Female,Master's,Marketing Analyst,9.0,95000.0,Senior
44.0,Male,Bachelor's,IT Support Specialist,14.0,110000.0,Senior
32.0,Female,Bachelor's,Financial Analyst,5.0,50000.0,Junior
33.0,Male,Master's,Operations Manager,7.0,115000.0,Senior
28.0,Male,Bachelor's,Software Engineer,2.0,40000.0,Junior
39.0,Female,Bachelor's,Sales Representative,12.0,90000.0,Senior
30.0,Female,Bachelor's,Copywriter,3.0,45000.0,Junior
35.0,Male,Bachelor's,Marketing Coordinator,7.0,80000.0,Senior
41.0,Female,Master's,Human Resources Manager,13.0,120000.0,Senior
27.0,Male,Bachelor's,Business Development Associate,1.5,35000.0,Junior
40.0,Female,Bachelor's,Account Manager,14.0,110000.0,Senior
46.0,Male,PhD,Researcher,18.0,150000.0,Senior
31.0,Female,Bachelor's,HR Coordinator,4.0,50000.0,Junior
34.0,Male,Master's,Software Engineer,9.0,105000.0,Senior
29.0,Male,Bachelor's,Marketing Coordinator,2.0,40000.0,Junior
43.0,Male,Bachelor's,Project Manager,16.0,140000.0,Senior
26.0,Female,Master's,Data Scientist,1.5,45000.0,Junior
35.0,Male,Bachelor's,Operations Analyst,7.0,85000.0,Senior
42.0,Female,PhD,Marketing Manager,18.0,140000.0,Senior
31.0,Male,Bachelor's,Accountant,4.0,50000.0,Junior
38.0,Female,Bachelor's,Human Resources Coordinator,10.0,80000.0,Senior
29.0,Female,Bachelor's,Sales Representative,2.0,40000.0,Junior
37.0,Male,Master's,Business Analyst,9.0,105000.0,Senior
44.0,Female,PhD,UX Designer,15.0,145000.0,Senior
27.0,Male,Bachelor's,Product Manager,2.0,40000.0,Junior
36.0,Female,Bachelor's,Marketing Specialist,8.0,85000.0,Senior
43.0,Male,Bachelor's,IT Project Manager,14.0,130000.0,Senior
33.0,Female,Master's,Financial Analyst,6.0,95000.0,Senior
34.0,Male,Bachelor's,Quality Assurance Analyst,9.0,100000.0,Senior
28.0,Male,Bachelor's,Operations Analyst,1.5,35000.0,Junior
39.0,Female,Bachelor's,Account Executive,12.0,95000.0,Senior
30.0,Female,Bachelor's,Social Media Manager,3.0,45000.0,Junior
34.0,Male,Bachelor's,Product Manager,7.0,95000.0,Senior
40.0,Female,Master's,Human Resources Specialist,13.0,120000.0,Senior
28.0,Male,Bachelor's,Business Analyst,2.0,40000.0,Junior
41.0,Female,Bachelor's,Marketing Coordinator,11.0,90000.0,Senior
45.0,Male,PhD,Data Analyst,17.0,155000.0,Senior
32.0,Female,Bachelor's,Account Manager,5.0,55000.0,Junior
35.0,Male,Master's,Software Developer,9.0,110000.0,Senior
30.0,Male,Bachelor's,Advertising Coordinator,3.0,45000.0,Junior
44.0,Male,Bachelor's,Sales Manager,16.0,130000.0,Senior
27.0,Female,Master's,UX Designer,1.5,45000.0,Junior
36.0,Male,Bachelor's,Accountant,7.0,90000.0,Senior
